index,port_num,pred,n_ret,date
ISFIN.IS,14,0.2969127078476922,0.26752763631999965,2022-08-21
SOKM.IS,14,0.3185572263383182,-0.054951683379195315,2022-08-21
MAVI.IS,15,0.318890883879046,0.07702117045417078,2022-08-21
THYAO.IS,15,0.3121458550504259,0.09775638341276749,2022-08-21
SISE.IS,15,0.294350178254287,0.061932289121615636,2022-08-21
ALGYO.IS,16,0.3362973812085471,-0.033604380140666135,2022-08-21
ASELS.IS,16,0.3274444346925108,0.039902340020159244,2022-08-21
ISDMR.IS,16,0.3207761899864264,0.03495318133731651,2022-08-21
ARCLK.IS,17,0.3312006452129704,0.034934521579193634,2022-08-21
ENJSA.IS,17,0.3251292112085571,0.03666667938232426,2022-08-21
KOZAL.IS,17,0.3404390391661773,0.02310231023102305,2022-08-21
LOGO.IS,17,0.3410583721149545,-0.019066909558942857,2022-08-21
NTHOL.IS,17,0.3206024720305095,-0.003276000141528068,2022-08-21
BRISA.IS,18,0.3390601034491625,-0.032804176952305086,2022-08-21
INDES.IS,18,0.3215094200725,0.006423925584814638,2022-08-21
AKSA.IS,19,0.3203501812470639,-0.016197796048142865,2022-08-21
CCOLA.IS,19,0.3407893171666888,0.07464611685404998,2022-08-21
BERA.IS,20,0.3272408067348439,0.05762083893090142,2022-08-21
ECILC.IS,20,0.3282891162816431,0.019040867297499542,2022-08-21
KERVT.IS,20,0.3251746009980377,-0.053748246847867054,2022-08-21
ODAS.IS,20,0.3353021433277219,0.08168315020347028,2022-08-21
QUAGR.IS,20,0.3413866343425609,0.1046865052590813,2022-08-21
ERBOS.IS,21,0.3600712914243666,0.0008635446587716977,2022-08-21
KRDMD.IS,21,0.3504100474836777,0.11151739614473222,2022-08-21
CEMAS.IS,22,0.3745762344838692,0.1782945937014615,2022-08-21
FROTO.IS,22,0.3631093465570909,-0.010053294770377308,2022-08-21
TOASO.IS,22,0.3414574677936374,0.022781792459432237,2022-08-21
AYDEM.IS,23,0.3422089705970147,-0.0356188454884494,2022-08-21
CIMSA.IS,23,0.4027109521550973,0.10737036667433197,2022-08-21
TUPRS.IS,23,0.3707141371149233,0.113419574593701,2022-08-21
AEFES.IS,24,0.3488834337551871,0.04278070611879459,2022-08-21
BIMAS.IS,24,0.3544986939057382,-0.022956840816993895,2022-08-21
DOHOL.IS,24,0.3418990925985005,0.07127427981627665,2022-08-21
DOAS.IS,24,0.4041690732632135,0.14705882099101864,2022-08-21
EGEEN.IS,24,0.3671824172351773,-0.0194777397260274,2022-08-21
GLYHO.IS,24,0.5024645017733504,0.02564100056083385,2022-08-21
AKSEN.IS,25,0.3509540468089575,-0.026315748831266306,2022-08-21
ALARK.IS,25,0.4139941678514925,0.19331982037332107,2022-08-21
MGROS.IS,25,0.3852351335866786,0.07692300878066893,2022-08-21
GOZDE.IS,1,0.2667506371779726,0.020247395337466,2022-08-28
TTRAK.IS,1,0.249541580868876,0.00976401084901135,2022-08-28
HALKB.IS,1,0.2261602968921706,0.250877254916986,2022-08-28
VAKBN.IS,1,0.2409958367462845,0.2982833452440301,2022-08-28
ULKER.IS,1,0.2192945263439349,0.11040607524417623,2022-08-28
OTKAR.IS,2,0.2519587119233186,0.00020795613388413514,2022-08-28
VERUS.IS,2,0.253637767298434,0.009811343786851445,2022-08-28
YKBNK.IS,2,0.2287060433849367,0.2345678846225654,2022-08-28
YATAS.IS,2,0.2336621334290272,-0.02065846995174736,2022-08-28
GUBRF.IS,3,0.227063698327614,0.009433962264151052,2022-08-28
TRGYO.IS,3,0.1505755546358137,-0.031042203152496062,2022-08-28
TURSG.IS,3,0.2009853326020963,0.01639342724524062,2022-08-28
